time,price,span,profit,heap_min,heap_max
0,1246.19,1,0,1246.19,1246.19
1,1265.1,2,18.9031,1246.19,1265.1
2,1271.9,3,25.7062,1246.19,1271.9
3,1270.05,1,25.7062,1246.19,1271.9
4,1334.88,5,88.6841,1246.19,1334.88
5,1337.79,6,91.5997,1246.19,1337.79
6,1399.12,7,152.925,1246.19,1399.12
7,1404.56,8,158.368,1246.19,1404.56
8,1420.89,9,174.696,1246.19,1420.89
9,1420.4,1,174.696,1246.19,1420.89
10,1453.25,11,207.059,1246.19,1453.25
11,1460.74,12,214.542,1246.19,1460.74
12,1452.09,1,214.542,1246.19,1460.74
13,1452.57,2,214.542,1246.19,1460.74
14,1454.13,3,214.542,1246.19,1460.74
15,1453.16,1,214.542,1246.19,1460.74
16,1460.54,5,214.542,1246.19,1460.74
17,1451.7,1,214.542,1246.19,1460.74
18,1528.86,19,282.671,1246.19,1528.86
